country,fruit_dietary_intake,vegetables_dietary_intake,legumes_dietary_intake,nuts_dietary_intake,whole_grains_dietary_intake,fish_dietary_intake,dairy_dietary_intake,red_meat_dietary_intake,salt_legislation_policy,sugar_tax_policy,sodium_policy,saturated_fatty_acids_policy,trans_fatty_acids_policy,population_2020,gdp_per_capita_mean_2011_2021,obesity_mean_2011_2016,overweight_mean_2011_2016,underweight_mean_2011_2016,blood_pressure_mean_2011_2015,animal_products_fat_supply,vegetal_products_fat_supply,sugar_sweeteners_fat_supply,Risk_factor_obese_2018,Risk_factor_all-rf_2018
Myanmar,79.5,174.2,25.6,4.7,22.9,129.3,111.4,128.4,Yes,No,No,No,No,54409.79,4013.48,4.89,22.71,15.52,24.47,49.09,46.87,0.08,3393.0,31812.0
Montenegro,245.4,135.5,30.5,11.3,192.1,53.3,920.0,205.6,No,Yes,Yes,No,No,628.06,18742.94,22.18,58.27,1.56,29.68,61.68,31.45,0.0,256.67,825.0
Mongolia,48.7,171.2,28.5,2.2,100.8,16.5,738.8,74.5,Yes,No,Yes,Yes,No,3278.29,10722.57,18.75,53.45,2.54,29.6,68.28,24.32,0.0,775.17,2684.67
Mozambique,102.3,138.5,31.0,10.6,17.2,40.1,39.9,19.0,Yes,No,No,No,No,31255.44,1220.2,6.24,24.51,11.69,28.84,22.06,75.65,0.0,1144.33,5693.17
Mauritania,34.8,223.4,19.5,1.8,26.1,33.9,94.7,16.4,Yes,Yes,No,No,Don't know,4649.66,5500.95,11.51,32.51,9.23,32.21,33.05,64.8,0.0,220.83,1034.0
Mauritius,76.8,182.8,38.5,9.0,75.0,47.0,116.8,44.9,No,Yes,No,No,No,1271.77,20014.04,9.89,30.96,8.42,25.09,24.33,72.58,0.0,304.67,1134.0
Malawi,113.7,173.9,24.6,7.9,62.3,37.6,34.9,13.5,Yes,No,No,Don't know,Don't know,19129.96,1349.33,5.06,21.91,11.44,28.37,35.12,60.58,0.0,439.17,2653.17
Malaysia,106.5,163.5,25.4,58.0,18.3,90.9,68.2,21.4,Yes,Yes,Yes,No,No,32366.0,24590.98,13.97,40.15,7.21,23.59,32.86,64.66,0.0,2931.83,12215.17
Namibia,255.0,151.4,12.6,8.2,54.1,23.2,130.9,25.4,Yes,No,No,No,No,2540.92,9986.86,15.11,37.51,10.42,28.74,30.15,64.69,0.0,318.5,797.17
Niger,63.6,98.5,28.9,16.3,52.1,6.0,79.4,8.2,Yes,Yes,No,No,No,24206.64,1151.44,4.96,20.84,13.62,33.53,19.31,77.16,0.0,410.83,3086.5
Nigeria,35.1,92.8,19.9,10.9,57.9,33.3,49.6,21.2,Yes,Yes,No,No,No,206139.59,5206.64,7.89,27.22,10.82,24.59,9.23,87.63,0.0,5977.0,36760.17
Nicaragua,156.5,272.9,28.3,5.8,29.5,17.9,203.0,49.9,Yes,Yes,No,No,No,6624.55,5449.59,22.06,56.48,2.36,21.07,33.65,63.19,0.0,832.67,2277.83
